video_id,video_length,view_count,likes,comments,shares,description,create_time,hashtag_count
6772621081074240774,14000,14900000,1400000,5745,47100,@thehypehouse,1576873727,0
6772620126379461894,15000,28300000,2700000,14900,106400,@thehypehouse,1576873505,0
6772619338869492998,9000,26000000,3900000,33200,81900,@lilhuddy @thehypehouse,1576873322,0
6772417200805416198,15000,54500000,7400000,28300,123000,,1576826262,0
6772413776886058246,11000,41500000,4700000,22500,170600,@kiocyrrr,1576825465,0
6772393172778716422,10000,16900000,1900000,7503,49900,,1576820667,0
6772389872259845382,15000,15700000,1600000,8740,77300,jammin as per usual #partner,1576819899,2
6772297974828551429,6000,17700000,2400000,12500,17000,,1576798500,0
6772295427078327557,11000,55300000,5300000,29000,202000,@lilhuddy @yodelinghaley,1576797907,0
6772286739894603013,15000,25100000,3300000,9511,64500,@k0uvr,1576795884,0
6772275388073643270,13000,16300000,1700000,8602,12300,,1576793240,0
6772274084983082246,15000,15800000,2200000,7002,20100,i taped my phone to the back of the seat in the car for this,1576792937,0
6772082062670204166,11000,23100000,3200000,13500,115900,i am now in the car on the way to the airport just an update,1576748231,0
6772068197400153349,26000,24800000,4200000,14000,64500,i love you all ❤️,1576745002,0
6771979180696423686,36000,20400000,3600000,26200,26900,who is better me or @mimi_webb,1576724275,0
6771845281064520966,10000,17400000,2300000,10300,43800,,1576693098,0
6771844485274995973,14000,20200000,2700000,11800,64100,,1576692913,0
6771843129873091846,6000,15100000,1600000,6765,47500,,1576692597,0
6771842094311984389,11000,18400000,1800000,6488,52700,@yodelinghaley,1576692356,0
6771840794010651910,13000,18000000,2700000,10400,20100,meet my family,1576692053,0
6771819056518483205,11000,19700000,2500000,21200,23200,,1576686993,1
6771811628741627141,11000,10300000,1000000,5551,23800,,1576685263,0
6771811253225524486,11000,15900000,2000000,7253,56800,,1576685175,0
6771810885749968134,11000,9900000,1200000,7486,25300,sorry this is very bad,1576685090,0
6771631402149629190,13000,16300000,2100000,15400,112500,,1576643304,0
6771629790920199429,8000,21900000,3200000,39100,133300,pov : you’re watching your friend read her comments but she says she’s fine,1576642928,0
6771592690019650822,15000,11800000,1300000,7310,24900,,1576634288,0
6771590416572632325,8000,19600000,3100000,16100,15800,,1576633759,0
6771588563655068934,13000,18000000,2800000,16500,75900,i want to bring helicopter hands back,1576633328,0
6771577394378657030,14000,18400000,2400000,12100,22400,you guys can’t expose bad pictures of me if i do it myself,1576630727,0
6771564222770892038,11000,27800000,3100000,16500,94300,@yodelinghaley,1576627660,0
6771563152850177286,15000,22100000,3000000,23700,59500,i look like i could be on that 70’s show,1576627411,0
6771507753660796166,15000,25900000,4000000,19500,76600,tik tok dares with @realjordanmatter,1576614511,0
6771489199351729413,9000,32400000,4100000,16700,37300,@realjordanmatter,1576610191,0
6771413145941495046,11000,45200000,4700000,25600,171000,,1576592484,1
6771312006373887237,11000,28400000,4100000,39500,81100,missing my second family :(,1576568939,0
6771289192312884485,15000,30200000,4200000,16800,98600,don’t worry i’m back to dancing,1576563627,0
6771285322203401478,8000,34600000,4800000,125400,123100,decided to try a pov so pov : the 15 seconds of fame was not as glamorous as you thought,1576562727,0
6771214044738211077,15000,16400000,2500000,6545,11900,hehehehhehe,1576546128,1
6771149287171640581,14000,9000000,1300000,11100,44100,,1576531050,0
6771130766307953926,12000,20600000,2900000,9403,29500,#greenscreen,1576526737,3
6770801498617056517,59000,14600000,2000000,35200,42000,THANK YOU ALL SO SO SO MUCH FOR 10 MILLION ❤️❤️❤️❤️,1576450075,0
6770774772029656326,58000,11000000,1200000,4650,10500,thank you all that came out the past two days! meeting you guys was so much fun!! also i cant believe i am about to hit 10 million ❤️❤️❤️ thank you!!!,1576443851,0
6770503639313222918,22000,18400000,3100000,10800,25200,,1576380724,0
6770434308680289542,10000,18200000,2500000,10200,24100,,1576364581,0
6770390582767439110,15000,13100000,1600000,9892,62600,,1576354399,0
6770301317651926277,8000,13800000,1900000,11900,31000,,1576333616,0
6770188703735319813,15000,32500000,3500000,25100,218000,,1576307399,0
6770173863239142661,59000,12800000,1700000,6886,16600,vlog of my day at #iheartjingleball @thegarden (i got to walk my first ever red carpet!!) ❤️❤️,1576303944,2
6770038253438520582,15000,33600000,4000000,22100,82000,,1576272366,0
6770024121809046790,8000,28700000,3400000,12800,115300,,1576269076,0
6770023652332276998,15000,16800000,1700000,8990,51700,,1576268967,0
6770022657971866885,9000,13100000,1300000,5745,33600,,1576268735,0
6770021457025043718,5000,12200000,1400000,3662,12300,me,1576268455,0
6769819231665016070,15000,24500000,3500000,18000,60900,@dixiedamelio,1576221375,0
6769654394448301318,15000,24400000,3000000,24000,97000,hi i’m sick,1576182993,0
6769294842678742278,8000,38100000,4100000,21000,83800,@lilhuddy,1576099278,0
6769026337635159301,12000,31200000,3700000,65100,194100,@lilhuddy,1576036765,0
6769024842390834438,15000,46600000,6000000,64700,238600,@lilhuddy,1576036416,0
6768972151530720518,12000,20600000,1900000,7293,27900,teaching @bryant how to dance!,1576024146,0
6768933625636424965,14000,33400000,3300000,22300,208100,,1576015176,0
6768929455814528262,14000,27700000,3000000,12700,70100,,1576014205,0
6768922464316624134,11000,20800000,2600000,11200,49900,,1576012577,0
6768592510144089349,11000,20500000,2400000,15200,101100,charli trying a new style blue ripped jeans and a black shirt,1575935755,0
6768590452569410822,15000,23100000,2600000,11500,43600,i took this with the filter and didn’t know how to get it off,1575935275,0
6768128245612252422,10000,27000000,3100000,17500,94900,,1575827658,0
6767912036539075846,8000,43100000,4500000,16800,187800,,1575777319,0
6767839370251603206,40000,15500000,1600000,4910,9054,❤️❤️❤️❤️❤️ @madiit,1575760400,0
6767829425632414981,12000,22400000,2500000,8672,47800,@madiit,1575758084,0
6767816990531931397,14000,25200000,2300000,10900,91700,@madiit,1575755189,0
6767706715812007174,6000,19300000,2600000,15100,11700,,1575729513,0
6767700059766148357,14000,22600000,3000000,21500,57800,,1575727964,0
6767689779095014662,11000,15500000,1800000,7837,30700,,1575725570,0
6767689011583667461,14000,17900000,2700000,21800,40100,i was told to do this sound so here hahahha also i got my makeup and hair done :),1575725391,0
6767496771930311942,15000,15000000,2100000,9239,24800,ok boomer,1575680633,0
6767490300106525958,7000,16300000,2200000,9111,25300,the first part of this video was filmed only a couple weeks ago but my life has changed so much for the better and i am genuinely so much happier ❤️,1575679126,0
6767484023804611846,13000,7600000,804800,6906,7715,,1575677665,0
6767479934727245062,15000,16400000,2200000,12800,45100,a happy day,1575676712,1
6767194145309150470,12000,15200000,2000000,14400,25800,,1575610175,0
6767193631355915526,11000,16800000,2100000,22800,53400,THANK YOU GUYS SO MUCH FOR 8 MILLION!!!! ❤️❤️❤️❤️,1575610055,0
6767054454769388806,15000,18800000,2400000,45500,102000,duet this video with your @eos to show off your #eos #awesomekiss #ad,1575577647,6
6767011926338768133,15000,11400000,1200000,6311,17300,,1575567745,0
6767004114338450694,15000,12600000,1500000,8484,36100,,1575565926,0
6767001091839216901,59000,14500000,2100000,6843,16600,sad to leave the fam :(,1575565223,0
6766838157179718918,15000,25500000,2800000,20300,142800,@lilhuddy,1575527291,0
6766837461055180038,9000,34100000,4800000,130500,228600,@lilhuddy,1575527128,0
