Video ID,Date Posted,Face Count,View Count
0vFDPnkoYuQ,2020-02-21,0,62558910
1o0CtxZ_Cbo,2020-02-21,0,95125326
53BA0C6dXpY,2020-02-21,0,10599917
AlwmaGcMjNE,2020-02-21,0,10028921
EWLlUBax4X4,2020-02-21,0,18141404
F5H3g0UR7CI,2020-02-21,0,55299587
GjNCQEEMz50,2020-02-21,0,7672280
Nr3ot5gSvkM,2020-02-21,0,72176328
UNdad29_G20,2020-02-21,0,62143228
YgBlISXhoP8,2020-02-21,0,15204189
a_zk4JFK43g,2020-02-21,0,64204321
dNUnnb8F-Cw,2020-02-21,0,130161938
h7mZX8INIYI,2020-02-21,0,57601273
naRxHSCFoSg,2020-02-21,0,6860115
nt4f4pPCEFs,2020-02-21,0,38294044
p9qYZz8PVDU,2020-02-21,0,4167016
wUccVthSGCc,2020-02-21,0,4386710
mPkBdEysvtI,2020-01-17,0,35168213
sBNhayH9VFM,2019-12-19,0,307857
B17YjRIeZ_Q,2019-11-02,0,1290203
tb_H-zD4CEY,2019-07-02,0,10428795
jv4yLr2N4yI,2019-07-02,0,29009785
uLDbwmrN7u8,2019-07-02,0,3320499
DwRndYRTuyw,2019-04-12,0,34755296
Fw7C6IsDYgI,2019-04-12,0,117961000
G3x17KyNJtg,2019-04-12,0,22849988
PruLsCEzm4Q,2019-04-12,0,9045037
Q-erYa8cwnc,2019-04-12,0,204860006
cVVs1loGEVg,2019-04-12,0,58106788
ghJURdZKq3I,2019-04-12,0,122461382
noghVcAfNSU,2018-11-06,0,161153
KFGJE8rxLKg,2018-11-06,0,492532
qaf5DGj6rtc,2018-11-06,0,177232
sGBObKH5rWY,2018-11-06,0,734035
E3YfMhsG4pE,2018-11-06,0,1201494
RlgSeFSGXes,2018-11-06,0,2677528
SHibA0OWyK8,2018-11-06,0,777571
BGQveM9aiBM,2018-08-24,0,53014975
9IVhjh15ofo,2018-08-24,0,87052152
SxAvr92fRg4,2018-08-24,0,11743676
9mwRYgMmSGE,2018-08-24,0,65298230
GiKZ_4EkYsA,2018-08-24,0,15354740
4DCOsbO27oY,2018-08-24,0,11505138
WATSk1MEm40,2018-08-24,0,20230440
hwBh13zqlVE,2018-08-24,0,6697507
PY22BTTb6Vk,2018-08-24,0,7176117
_xjZtbeKd4E,2018-08-24,0,21736123
j0KDmsVVxm8,2018-08-24,0,12304834
0D28qd--kRE,2018-08-24,0,156979950
0tWU94w_3ig,2018-08-24,0,10189605
Gx9L1nvgGDg,2018-08-24,0,3314099
