Track,Album Name,Artist,Release Date,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Popularity,YouTube Views,YouTube Likes
Gangnam Style (ï¿½ï¿½ï¿½ï¿½ï¿½ï,Hits For Kids 29,PSY,1/1/2012,647,59.6,477162323,103211,67,5849588091,31460015
Radioactive,Hear Me EP,Imagine Dragons,1/1/2012,654,59.3,1836362703,236427,75,1838544809,12824587
Sweater Weather,I'm Sorry...,The Neighbourhood,1/1/2012,809,53.9,2916412507,415650,85,1648485745,18338729
Demons,Continued Silence - EP,Imagine Dragons,1/1/2012,847,52.8,2270796677,263640,80,1738647396,12375429
Call Me Maybe,Kiss,Carly Rae Jepsen,1/1/2012,960,49.2,1394048309,211162,77,2007334200,12223928
Diamonds,Unapologetic (Edited Version),Rihanna,1/1/2012,1063,46.5,1419912461,180128,70,2336257288,11532780
Payphone,Overexposed Track By Track,Maroon 5,1/1/2012,1153,44.2,1828026153,249663,78,1051247406,7080472
Royals,The Love Club EP,Lorde,1/1/2012,1386,39.8,1232502989,163195,73,349747981,2670057
Stay,Unapologetic (Edited Version),Rihanna,1/1/2012,1607,36.6,1313274600,140970,69,1350480491,6778043
Locked Out Of Heaven,NRJ 200% Hits 2013,Bruno Mars,1/1/2012,1602,36.6,2004657631,277766,83,1400581749,9714447
Ho Hey,The Lumineers,The Lumineers,1/1/2012,1818,34.1,1273869800,214511,76,370952126,2847630
Another Love,Songs from Another Love,Tom Odell,1/1/2012,1842,33.9,2444335468,380675,83,996981745,9104648
One More Night,Overexposed Track By Track,Maroon 5,1/1/2012,1989,32.3,885944426,129982,73,1106757714,4773915
Money Trees,good kid m.A.A.d city (Deluxe),Kendrick Lamar,1/1/2012,2167,30.8,1476217041,352198,75,385175377,3054056
Starships,Crave Volume 7,Nicki Minaj,1/1/2012,2225,30.3,1125407888,189848,73,565850053,3904912
Burn,Halcyon,Ellie Goulding,1/1/2012,2306,29.8,784334383,104998,68,1776560692,7559025
Safe And Sound,Capital Cities EP,Capital Cities,1/1/2012,2317,29.7,1286089822,256512,78,291434533,3222924
Hall of Fame (feat. will.i.am),NRJ Hits 17,The Script,1/1/2012,2465,28.7,1438795892,180669,78,1122719476,8456502
I Knew You Were Trouble.,I Knew You Were Trouble.,Taylor Swift,1/1/2012,2809,26.5,839642356,110606,72,545463966,4002306
Cake By The Ocean,Pop Music Best Hit 2012-16's VOL18,DNCE,1/1/2012,2863,26.1,1623436416,181003,76,205204907,2069073
